# SPDX-License-Identifier: CERN-OHL-W-2.0
part,qty,material,thickness_gauge,supplier,cost_usd,lead_time_days
frame-cylinder-blank,1,CRS sheet — 2600x150x1.5 mm,16 ga (1.5 mm),onlinemetals.com or local steel service center,55,7
internal-doubler-blank,1,CRS sheet — 55x125x1.5 mm,16 ga (1.5 mm),offcut from frame blank,0,0
clamp-ring-blank,1,CRS plate — 900x900x4 mm,3/16 in (4 mm),local steel service center (laser-cut),45,7
lug-bracket-blank,1,CRS sheet — 500x250x3 mm,11 ga (3 mm),local steel service center,18,7
M10x35-bolt,6,steel grade 8.8 zinc-plated,—,fastenal / mcmaster,4,3
M10-washer,12,steel zinc-plated,—,fastenal,1,3
M10-locknut,6,steel zinc-plated nylon-insert,—,fastenal,2,3
steerhide-head-blank,1,raw thick steerhide 1.5-2 mm — 1000 mm round,—,centralia hide & fur OR moosehide.ca,90,14
nylon-rope-8mm,15 m,braided nylon (Variant B only),—,west marine,18,3
soft-cinematic-mallet,1,bought — felt head bass mallet,—,vic firth STH1 or similar,28,5
matte-paint-black,1 can,enamel spray,—,big-box hardware,8,1
deburring-disk,1,3M Roloc Bristle 80-grit,—,mcmaster,15,3
seam-doubler-spot-welds,6,—,—,consumable on the spot welder,0,0
tig-filler-er70s,1 lb,ER70S-2 rod,—,airgas,18,3
